samples	size	depth	collection_from	latitude	longitude
SRR16759097	>0.2	0.5	article	34.5	123.8
SRR16759098	>0.2	0.5	article	34.5	123.8
SRR16759104	>0.2	0.5	article	32	123
SRR16759105	>0.2	0.5	article	32	123
SRR16759106	>0.2	0.5	article	32	123
SRR16759107	>0.2	0.5	article	32	123
SRR16759113	>0.2	0.5	article	31.5	123.5
SRR16759114	>0.2	0.5	article	31.5	123.5
SRR16759115	>0.2	0.5	article	31.5	123.5
SRR16759116	>0.2	0.5	article	31.5	123.5
SRR16759122	>0.2	0.5	article	31.5	124
SRR16759123	>0.2	0.5	article	31.5	124
SRR16759124	>0.2	0.5	article	31.5	124
SRR16759125	>0.2	0.5	article	31.5	124
SRR16759130	>0.2	0.5	article	31	123
SRR16759131	>0.2	0.5	article	31	123
SRR16759133	>0.2	0.5	article	31	123
SRR16759134	>0.2	0.5	article	31	123
SRR16759139	>0.2	0.5	article	30.5	126
SRR16759140	>0.2	0.5	article	30.5	126
SRR16759141	>0.2	0.5	article	30.5	126
SRR16759142	>0.2	0.5	article	30.5	126
SRR16759143	>0.2	0.5	article	36	123.5
SRR16759148	>0.2	0.5	article	30.5	125.05
SRR16759149	>0.2	0.5	article	30.5	125.05
SRR16759150	>0.2	0.5	article	30.5	125.05
SRR16759151	>0.2	0.5	article	30.5	125.05
SRR16759154	>0.2	0.5	article	36	123.5
SRR16759155	>0.2	0.5	article	36	122
SRR16759156	>0.2	0.5	article	36	122
SRR16759159	>0.2	0.5	article	30	123
SRR16759160	>0.2	0.5	article	30	123
SRR16759161	>0.2	0.5	article	30	123
SRR16759162	>0.2	0.5	article	30	123
SRR16759167	>0.2	0.5	article	36	123.5
SRR16759168	>0.2	0.5	article	30.5	123
SRR16759169	>0.2	0.5	article	30.5	123
SRR16759170	>0.2	0.5	article	30.5	123
SRR16759171	>0.2	0.5	article	30.5	123
SRR16759176	>0.2	0.5	article	35	123.5
SRR16759177	>0.2	0.5	article	35	123.5
SRR16759178	>0.2	0.5	article	36	123.5
SRR16759179	>0.2	0.5	article	35	123.5
SRR16759180	>0.2	0.5	article	35	123.5
SRR16759185	>0.2	0.5	article	34.5	122
SRR16759186	>0.2	0.5	article	34.5	122
SRR16759187	>0.2	0.5	article	34.5	122
SRR16759188	>0.2	0.5	article	34.5	122
SRR16759194	>0.2	0.5	article	36.5	123.8
SRR16759195	>0.2	0.5	article	36.5	123.8
SRR16759196	>0.2	0.5	article	36.5	123.8
SRR16759197	>0.2	0.5	article	36.5	123.8
SRR16759204	>0.2	0.5	article	34	123.5
SRR16759205	>0.2	0.5	article	34	123.5
SRR16759206	>0.2	0.5	article	34	123.5
SRR16759207	>0.2	0.5	article	34	123.5
SRR16759208	>0.2	0.5	article	34	123.5
SRR16759214	>0.2	0.5	article	33.5	123.8
SRR16759215	>0.2	0.5	article	33.5	123.8
SRR16759216	>0.2	0.5	article	33.5	123.8
SRR16759217	>0.2	0.5	article	33.5	123.8
SRR12338582	>0.2	0.5	article	40.1	120.41
