samples	size	depth	collection_from	latitude	longitude
CJ68	0.2-20	2	zheng	30.717	122.313
CJ70	0.2-20	2	zheng	30.539	122.743
CJ73	0.2-20	2	zheng	30.312	123.263
D1	0.2-20	2	zheng	22.209	114.72
D15	0.2-20	2	zheng	20.589	114.72
D18	0.2-20	2	zheng	21.227	114.358
D20	0.2-20	2	zheng	21.781	114.047
D22	0.2-20	2	zheng	21.492	113.291
D24	0.2-20	2	zheng	20.866	113.635
D3	0.2-20	2	zheng	21.638	115.087
D5	0.2-20	2	zheng	20.954	115.443
D9	0.2-20	2	zheng	19.958	115.074
E12	0.2-20	2.6	zheng	20	115.998
E18	0.2-20	2	zheng	19.593	114.342
E22	0.2-20	2	zheng	19.325	111.018
E24	0.2-20	2	zheng	18.865	110.736
E6	0.2-20	3.2	zheng	19.502	117.998
F2	0.2-20	2	zheng	18.401	111.192
F22	0.2-20	2	zheng	19	115
F4	0.2-20	2	zheng	17.745	110.633
F6	0.2-20	2	zheng	16.79	116.69
G11	0.2-20	2	zheng	17.999	113.051
G17	0.2-20	2	zheng	16.991	113.035
G22	0.2-20	2	zheng	18.5	111.7
H10	0.2-20	2	zheng	18.71	113.033
H15	0.2-20	2	zheng	18.75	113.3
H19	0.2-20	1.4	zheng	19.248	116.748
H2	0.2-20	2	zheng	18.54	111.967
H6	0.2-20	2	zheng	18.63	112.5
HB1	0.2-20	2	zheng	38.87	119.67
HB10	0.2-20	2	zheng	38.32	121.32
HB13	0.2-20	2	zheng	37.9	121.2
HB15	0.2-20	2	zheng	38.26	123.35
HB18	0.2-20	2	zheng	37.7	122.9
HB21	0.2-20	2	zheng	37.5	124
HB24	0.2-20	2	zheng	36	121
HB25	0.2-20	2	zheng	31.99	124.07
HB28	0.2-20	2	zheng	31.99	122.33
HB30	0.2-20	2	zheng	33	122.02
HB32	0.2-20	2	zheng	33	124.02
HB35	0.2-20	2	zheng	34	124
HB38	0.2-20	2	zheng	34	122.86
HB4	0.2-20	2	zheng	38.74	121.44
HB41	0.2-20	2	zheng	34.01	121.69
HB43	0.2-20	2	zheng	34.99	120.5
HB46	0.2-20	2	zheng	34.99	122.59
HB49	0.2-20	2	zheng	34.99	123.98
HB52	0.2-20	2	zheng	36	123.98
HB55	0.2-20	2	zheng	36	122.7
HB60	0.2-20	2	zheng	39.01	123.95
HB63	0.2-20	2	zheng	38.32	119
HB7	0.2-20	2	zheng	39.55	120.53
I7	0.2-20	2	zheng	18.371	110.27
S01-1	0.2-20	2	zheng	29.997	122.697
S01-3	0.2-20	2	zheng	30	123.498
S01-5	0.2-20	2	zheng	30	124.297
S01-7	0.2-20	2	zheng	29.997	125.098
S01-9	0.2-20	2	zheng	29.998	125.895
S02-1	0.2-20	2	zheng	29.62	122.808
S02-3	0.2-20	2	zheng	29.318	123.37
S02-5	0.2-20	2	zheng	29.018	123.845
S02-8	0.2-20	2	zheng	28.568	124.777
S03-1	0.2-20	2	zheng	28.62	122.318
S03-3	0.2-20	2	zheng	28.308	122.88
S03-6	0.2-20	2	zheng	27.842	123.783
S04-1	0.2-20	2	zheng	27.8	121.628
S04-3	0.2-20	2	zheng	27.452	122.17
S04-5	0.2-20	2	zheng	27.098	122.698
S05-1	0.2-20	2	zheng	26.998	120.927
S05-3	0.2-20	2	zheng	26.63	121.532
S05-6	0.2-20	2	zheng	26.08	122.418
S1	0.2-20	3.4	zheng	17.998	114.997
S12-2	0.2-20	2	zheng	29.565	125.54
S15	0.2-20	1.9	zheng	20.998	115
S18	0.2-20	2.75	zheng	16	114.998
S7	0.2-20	2.3	zheng	18	118.002
SF-1	0.2-20	2	zheng	31.153	122.557
T1	0.2-20	2	zheng	24.51	119.318
T10	0.2-20	2	zheng	24.397	118.138
T13	0.2-20	2	zheng	25.181	119.393
T16	0.2-20	2	zheng	22.798	118.668
T19	0.2-20	2	zheng	25.684	120.224
T25	0.2-20	2	zheng	24.075	118.845
T28	0.2-20	2	zheng	23.128	117.847
T31	0.2-20	2	zheng	24.815	118.823
T34	0.2-20	2	zheng	26.067	120.284
T4	0.2-20	2	zheng	25.153	119.986
T40	0.2-20	2	zheng	24.072	118.458
T43	0.2-20	2	zheng	23.382	118.106
T46	0.2-20	2	zheng	25.867	121.096
T49	0.2-20	2	zheng	26.483	120.226
T52	0.2-20	2	zheng	25.552	120.422
T55	0.2-20	2	zheng	24.605	119.125
T58	0.2-20	2	zheng	25.97	119.872
T61	0.2-20	2	zheng	26.254	120.536
T64	0.2-20	2	zheng	25.012	119.641
T67	0.2-20	2	zheng	26.358	120.37
T7	0.2-20	2	zheng	23.697	118.447
W1-10m	0.2-20	10	zheng	11.001	112.001
W3-10m	0.2-20	10	zheng	10.838	112.006
W5-10m	0.2-20	10	zheng	10.337	112.003
W7-10m	0.2-20	10	zheng	9.998	112
W9-10m	0.2-20	10	zheng	9.33	111.999
